STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;NSH_TAG;eor
       2139;19930722;    9;   4.7;   4;   0;   0;eor
       2139;19930723;    9;   0.1;   4;   0;   0;eor
       2139;19930724;    9;   0.0;   0;   0;   0;eor
       2139;19930725;    9;   7.1;   4;   0;   0;eor
       2139;19930726;    9;   1.7;   4;   0;   0;eor
       2139;19930727;    9;  18.1;   4;   0;   0;eor
       2139;19930728;    9;  12.3;   4;   0;   0;eor
       2139;19930729;    9;   0.0;   0;   0;   0;eor
       2139;19930730;    9;  10.7;   4;   0;   0;eor
       2139;19930731;    9;   1.0;   4;   0;   0;eor
       2139;19930801;    9;   0.0;   0;   0;   0;eor
       2139;19930802;    9;   0.0;   0;   0;   0;eor
       2139;19930803;    9;   0.0;   4;   0;   0;eor
       2139;19930804;    9;   0.0;   0;   0;   0;eor
       2139;19930805;    9;   0.2;   4;   0;   0;eor
       2139;19930806;    9;   0.0;   0;   0;   0;eor
       2139;19930807;    9;   0.0;   0;   0;   0;eor
       2139;19930808;    9;   0.5;   4;   0;   0;eor
       2139;19930809;    9;  21.3;   4;   0;   0;eor
       2139;19930810;    9;   5.3;   4;   0;   0;eor
       2139;19930811;    9;   0.0;   0;   0;   0;eor
       2139;19930812;    9;   0.7;   4;   0;   0;eor
       2139;19930813;    9;   0.0;   0;   0;   0;eor
       2139;19930814;    9;   0.0;   4;   0;   0;eor
       2139;19930815;    9;   0.0;   4;   0;   0;eor
       2139;19930816;    9;   0.0;   0;   0;   0;eor
       2139;19930817;    9;   0.0;   0;   0;   0;eor
       2139;19930818;    9;   0.0;   0;   0;   0;eor
       2139;19930819;    9;   0.0;   0;   0;   0;eor
       2139;19930820;    9;   0.0;   0;   0;   0;eor
       2139;19930821;    9;   0.0;   4;   0;   0;eor
       2139;19930822;    9;   0.0;   4;   0;   0;eor
       2139;19930823;    9;   1.7;   4;   0;   0;eor
       2139;19930824;    9;   0.0;   0;   0;   0;eor
       2139;19930825;    9;   0.0;   0;   0;   0;eor
       2139;19930826;    9;   0.0;   0;   0;   0;eor
       2139;19930827;    9;   0.0;   0;   0;   0;eor
       2139;19930828;    9;   0.0;   0;   0;   0;eor
       2139;19930829;    9;   0.0;   0;   0;   0;eor
       2139;19930830;    9;   2.2;   4;   0;   0;eor
       2139;19930831;    9;   0.0;   4;   0;   0;eor
       2139;19930901;    9;   0.0;   0;   0;   0;eor
       2139;19930902;    9;   1.7;   4;   0;   0;eor
       2139;19930903;    9;  10.2;   4;   0;   0;eor
       2139;19930904;    9;   2.4;   4;   0;   0;eor
       2139;19930905;    9;   0.6;   4;   0;   0;eor
