timestamp,capacity_wh,power_watts,temperature_c,humidity_pct,cloud_cover_pct,shortwave_radiation,direct_radiation,diffuse_radiation,sunshine_duration_s,precipitation_mm,hour,day_of_week,month,day_of_year,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,capacity_wh_lag_1h,capacity_wh_lag_2h,capacity_wh_lag_3h,capacity_wh_lag_6h,capacity_wh_lag_12h,capacity_wh_lag_24h,capacity_wh_rolling_mean_6h,capacity_wh_rolling_std_6h,capacity_wh_rolling_mean_12h,capacity_wh_rolling_std_12h,capacity_wh_rolling_mean_24h,capacity_wh_rolling_std_24h,power_watts_rolling_mean_6h,power_watts_rolling_std_6h,power_watts_rolling_mean_12h,power_watts_rolling_std_12h,power_watts_rolling_mean_24h,power_watts_rolling_std_24h,capacity_change,capacity_next_hour
2025-07-08 14:00:00,1600.0,47.275,15.9,54,60,659.0,412.0,247.0,3600.0,0.0,14,1,7,189,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,1600.0,1600.0,1600.0,1584.0,1376.0,1424.0,1600.0,0.0,1508.0,112.9569507700735,1470.6666666666667,91.23436931840726,47.145833333333336,0.1234627699164573,46.72083333333333,0.5444914687998974,47.473958333333336,1.4523517337666483,0.0,1600.0
2025-07-08 15:00:00,1600.0,47.275,16.9,49,51,567.0,362.0,205.0,3600.0,0.0,15,1,7,189,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,1600.0,1600.0,1600.0,1600.0,1360.0,1456.0,1600.0,0.0,1528.0,105.36171462676094,1476.6666666666667,94.88971477991959,47.13750000000001,0.10989262436021419,46.84722222222222,0.47195773936233526,47.50486111111112,1.4392990038151765,0.0,1600.0
2025-07-08 16:00:00,1600.0,47.074999999999996,17.0,49,49,483.0,284.0,199.0,3600.0,0.0,16,1,7,189,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,1600.0,1600.0,1600.0,1600.0,1360.0,1488.0,1600.0,0.0,1548.0,92.57527649530374,1481.3333333333333,98.16873967447764,47.13472222222222,0.11148201980869508,46.94236111111112,0.3763772408647578,47.52986111111111,1.4257803962480988,0.0,1600.0
2025-07-08 17:00:00,1600.0,47.0,16.5,53,37,363.0,198.0,165.0,3600.0,0.0,17,1,7,189,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,1600.0,1600.0,1600.0,1600.0,1360.0,1488.0,1600.0,0.0,1568.0,71.87868567625311,1486.0,101.11723716643918,47.12083333333334,0.12368755439005392,47.013194444444444,0.28180197425406306,47.55937500000001,1.4062324878137002,0.0,1600.0
2025-07-08 18:00:00,1600.0,46.88333333333333,16.4,54,32,304.0,209.0,95.0,3600.0,0.0,18,1,7,189,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,1600.0,1600.0,1600.0,1600.0,1392.0,1472.0,1600.0,0.0,1585.3333333333333,45.998682458076395,1491.3333333333333,103.68961486997651,47.0875,0.15800404354841366,47.06041666666667,0.18549432319959208,47.58958333333333,1.3824124969032574,0.0,1600.0
2025-07-08 19:00:00,1600.0,47.15833333333333,15.0,67,28,175.0,102.0,73.0,3600.0,0.0,19,1,7,189,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,1600.0,1600.0,1600.0,1600.0,1440.0,1456.0,1600.0,0.0,1598.6666666666667,4.618802153534871,1497.3333333333333,105.70289234110557,47.111111111111114,0.15587269259294606,47.10277777777778,0.1341985814348913,47.609027777777776,1.3724799406915706,0.0,1600.0
2025-07-08 20:00:00,1600.0,49.925000000000004,13.9,75,33,68.0,30.0,38.0,3445.97,0.0,20,1,7,189,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,1600.0,1600.0,1600.0,1600.0,1584.0,1440.0,1600.0,0.0,1600.0,0.0,1504.0,106.96769118066318,47.55277777777778,1.1698013443252686,47.34930555555556,0.8210416081968285,47.63993055555556,1.4170928156292304,0.0,1600.0
2025-07-08 21:00:00,1600.0,49.98333333333333,13.1,79,28,6.0,1.0,5.0,0.0,0.0,21,1,7,189,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,1600.0,1600.0,1600.0,1600.0,1600.0,1424.0,1600.0,0.0,1600.0,0.0,1511.3333333333333,107.27723801954185,48.00416666666666,1.5132814785536395,47.570833333333326,1.1185956879637773,47.67222222222222,1.4624892473833233,0.0,1584.0
2025-07-08 22:00:00,1584.0,49.96666666666667,12.8,81,45,0.0,0.0,0.0,0.0,0.0,22,1,7,189,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,1600.0,1600.0,1600.0,1600.0,1600.0,1424.0,1597.3333333333333,6.53197264742316,1598.6666666666667,4.618802153534871,1518.0,106.58330075579376,48.486111111111114,1.6152112578259588,47.81041666666667,1.2998403408172816,47.699999999999996,1.5005856344697204,-16.0,1552.0
2025-07-08 23:00:00,1552.0,49.88333333333333,12.6,83,47,0.0,0.0,0.0,0.0,0.0,23,1,7,189,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,1584.0,1600.0,1600.0,1600.0,1600.0,1408.0,1589.3333333333333,19.37696226622427,1594.6666666666667,14.20200583358326,1524.0,104.14705322596582,48.96666666666667,1.5101416416277773,48.043749999999996,1.4045521456314058,47.72777777777778,1.5356426896284883,-32.0,1520.0
